date,count
2012-08-23,75
2012-08-24,26
2012-08-27,718
2012-08-28,168
2012-08-29,223
2012-08-30,114
2012-08-31,438
2012-09-01,116
2012-09-02,23
2012-09-03,208
2012-09-04,50
2012-09-05,415
2012-09-06,30
2012-09-07,36
2012-09-08,12
2012-09-09,6
2012-09-10,12
2012-09-12,9
2012-09-13,16
2012-09-14,107
2012-09-15,2
2012-09-16,313
2012-09-18,212
2012-09-19,84
2012-09-20,104
2012-09-21,82
2012-09-22,151
2012-09-23,390
2012-09-24,40
2012-09-26,18
2012-09-27,12
2012-09-28,58
2012-09-29,277
2012-09-30,351
2012-10-01,18
2012-10-02,31
2012-10-03,40
2012-10-04,12
2012-10-05,205
2012-10-06,196
2012-10-07,49
2012-10-08,108
2012-10-09,250
2012-10-10,362
2012-10-11,375
2012-10-12,76
2012-10-13,264
2012-10-14,269
2012-10-15,593
2012-10-16,1029
2012-10-17,80
2012-10-18,208
2012-10-20,49
2012-10-21,22
2012-10-23,480
2012-10-24,24
2012-10-25,30
2012-10-26,244
2012-10-27,49
2012-10-29,529
2012-10-30,164
2012-10-31,252
2012-11-01,291
2012-11-02,647
2012-11-03,96
2012-11-04,410
2012-11-05,252
2012-11-07,78
2012-11-08,130
2012-11-09,304
2012-11-10,41
2012-11-11,14
2012-11-12,110
2012-11-13,34
2012-11-14,270
2012-11-16,195
2012-11-17,30
2012-11-18,32
2012-11-19,12
2012-12-27,138
2012-12-28,132
2012-12-29,305
2012-12-30,81
2013-01-01,342
2013-01-02,51
2013-01-03,102
2013-01-06,24
2013-01-07,6
2013-01-13,75
2013-01-14,204
2013-01-15,15
2013-01-16,395
2013-01-17,209
2013-01-18,342
2013-01-19,45
2013-01-20,95
2013-01-21,198
2013-01-24,8
2013-01-25,488
2013-01-26,43
2013-01-27,240
2013-01-28,152
2013-01-29,38
2013-01-30,156
2013-02-01,30
2013-02-02,62
2013-02-03,274
2013-02-04,72
2013-02-05,66
2013-02-06,74
2013-02-07,448
2013-02-09,228
2013-02-10,337
2013-02-11,15
2013-02-12,549
2013-02-13,34
2013-02-14,148
2013-02-15,21
2013-02-16,77
2013-02-17,118
2013-02-18,119
2013-02-19,140
2013-02-20,34
2013-02-22,193
2013-02-23,18
2013-02-24,14
2013-02-25,435
2013-02-26,217
2013-02-28,199
2013-03-01,433
2013-03-02,316
2013-03-04,120
2013-03-05,116
2013-03-06,224
2013-03-07,123
2013-03-08,24
2013-03-09,191
2013-03-10,48
2013-03-11,382
2013-03-12,48
2013-03-13,308
2013-03-14,27
2013-03-16,73
2013-03-17,246
2013-03-18,9
2013-03-19,8
2013-03-20,71
2013-03-21,30
2013-03-22,370
2013-03-23,14
2013-03-24,226
2013-03-25,20
2013-03-26,18
2013-03-27,36
2013-03-28,172
2013-03-29,200
2013-03-30,16
2013-03-31,6
2013-04-02,8
2013-04-03,222
2013-04-04,36
2013-04-05,265
2013-04-06,14
2013-04-07,24
2013-04-09,16
2013-04-11,492
2013-04-12,303
2013-04-13,35
2013-04-14,260
2013-04-15,52
2013-04-24,50
2013-04-26,351
2013-04-27,61
2013-04-28,43
2013-04-29,36
2013-04-30,608
2013-05-01,24
2013-05-02,33
2013-05-03,300
2013-05-04,54
2013-05-05,174
2013-05-06,45
2013-05-07,30
2013-05-08,42
2013-05-09,36
2013-05-10,185
2013-05-11,58
2013-05-12,66
2013-05-13,186
2013-05-14,51
2013-05-15,242
2013-05-17,38
2013-05-18,306
2013-05-19,254
2013-05-20,249
2013-05-21,108
2013-05-22,175
2013-05-23,273
2013-05-24,101
2013-05-25,202
2013-05-26,148
2013-05-28,47
2013-05-29,24
2013-05-30,156
2013-05-31,75
2013-06-01,474
2013-06-03,258
2013-06-04,323
2013-06-05,58
2013-06-06,408
2013-06-07,214
2013-06-09,6
2013-06-10,28
2013-06-11,85
2013-06-12,62
2013-06-14,89
2013-06-15,125
2013-06-16,184
2013-06-17,21
2013-06-18,333
2013-06-19,253
